"v /In0; tran (V)","Offsetf_N","Offsetr_N","Offsetf_P","Offsetr_P","Offsetf_R","Offsetr_R","Offset_N","Offset_P","Offset_R"
wave,-3.95000000000003e-3,-3.65000000000003e-3,-650.000000000031e-6,-350.000000000033e-6,1.44999999999997e-3,1.74999999999997e-3,-3.80000000000003e-3,-500.000000000032e-6,1.59999999999997e-3
wave,-1.55000000000003e-3,-1.25000000000003e-3,5.34999999999997e-3,5.64999999999997e-3,-3.65000000000003e-3,-3.05000000000003e-3,-1.40000000000003e-3,5.49999999999997e-3,-3.35000000000003e-3
wave,-10.55e-3,-10.25e-3,12.25e-3,12.55e-3,3.24999999999997e-3,3.84999999999997e-3,-10.4e-3,12.4e-3,3.54999999999997e-3
wave,-350.000000000031e-6,-50.0000000000325e-6,-4.55000000000003e-3,-4.25000000000003e-3,7.14999999999997e-3,7.74999999999997e-3,-200.000000000032e-6,-4.40000000000003e-3,7.44999999999997e-3
wave,3.24999999999997e-3,3.54999999999997e-3,-8.45000000000003e-3,-8.45000000000003e-3,-1.85000000000003e-3,-1.25000000000003e-3,3.39999999999997e-3,-8.45000000000003e-3,-1.55000000000003e-3
wave,2.64999999999997e-3,2.94999999999997e-3,3.54999999999997e-3,3.84999999999997e-3,549.999999999969e-6,849.999999999967e-6,2.79999999999997e-3,3.69999999999997e-3,699.999999999968e-6
wave,-3.95000000000003e-3,-3.65000000000003e-3,9.54999999999997e-3,9.84999999999997e-3,9.54999999999997e-3,10.15e-3,-3.80000000000003e-3,9.69999999999997e-3,9.84999999999997e-3
wave,1.74999999999997e-3,2.04999999999997e-3,-350.000000000031e-6,-50.0000000000325e-6,-14.75e-3,-14.45e-3,1.89999999999997e-3,-200.000000000032e-6,-14.6e-3
wave,3.84999999999997e-3,4.14999999999997e-3,8.64999999999997e-3,8.94999999999997e-3,549.999999999969e-6,849.999999999967e-6,3.99999999999997e-3,8.79999999999997e-3,699.999999999968e-6
wave,-4.55000000000003e-3,-3.95000000000003e-3,-5.15000000000003e-3,-4.85000000000003e-3,-650.000000000031e-6,-50.0000000000325e-6,-4.25000000000003e-3,-5.00000000000003e-3,-350.000000000032e-6
wave,-3.65000000000003e-3,-3.35000000000003e-3,-9.65000000000003e-3,-9.35000000000003e-3,-4.55000000000003e-3,-4.25000000000003e-3,-3.50000000000003e-3,-9.50000000000003e-3,-4.40000000000003e-3
wave,2.34999999999997e-3,2.64999999999997e-3,7.14999999999997e-3,7.14999999999997e-3,4.44999999999997e-3,5.04999999999997e-3,2.49999999999997e-3,7.14999999999997e-3,4.74999999999997e-3
wave,1.14999999999997e-3,1.44999999999997e-3,-3.35000000000003e-3,-3.05000000000003e-3,3.54999999999997e-3,3.84999999999997e-3,1.29999999999997e-3,-3.20000000000003e-3,3.69999999999997e-3
wave,1.44999999999997e-3,1.74999999999997e-3,849.999999999969e-6,1.14999999999997e-3,2.94999999999997e-3,3.54999999999997e-3,1.59999999999997e-3,999.999999999968e-6,3.24999999999997e-3
